year,hydro_generation,biofuel_generation,solar_generation,geothermal_generation,country,total_energy_consumption,renewable_share_pct,other_renewable_generation,solar_generation_alt,wind_generation,hydro_generation_alt,renewable_generation,decade,period,renewable_generation_lag_1,renewable_generation_lag_3,renewable_generation_lag_6,renewable_generation_lag_12,renewable_generation_rolling_mean_3,renewable_generation_rolling_std_3,renewable_generation_rolling_mean_6,renewable_generation_rolling_std_6,renewable_generation_rolling_mean_12,renewable_generation_rolling_std_12
-1.4542879702820626,-1.36916352692261,-0.5790817994817036,-0.341635275282212,-1.2424910722714957,Algeria,-0.8957057993248541,-0.7383648467933037,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7979603067315347,-1.242321633312643,-0.8381721914410428,1980s,,,,,-1.2231099461580237,,-1.1659440076580037,,-1.2138509490302538,
-1.2973907949647177,-1.154697220842114,-0.5767281554603211,-0.3411933754859781,-1.1485391340571665,Algeria,-0.8816220992963443,-0.7227927319346384,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7901196169341643,-1.0813741504210357,-0.8381721914410428,1990s,-1.2524782044775025,,,,-1.1341805496426378,-0.4098386803617139,-1.0666655079342702,-0.8583416977985612,-1.080207642947047,-1.20888225425422
-1.140493619647373,-1.1587937056386106,-0.5733874994299718,-0.3403095758935102,-0.9635409876763744,Algeria,-0.8675383992678344,-0.7324795625053531,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.79478433111741,-1.0797196805810878,-0.8381721914410428,1990s,-1.080108272209327,,,,-1.103927980563117,-0.491128909775469,-1.0328923149442133,-0.9661558467771444,-1.0347440110354298,-1.3021411636829674
-0.983596444330028,-0.795098310542904,-0.5659469473623755,-0.3389838765048084,-0.8734633561925332,Algeria,-0.8675383992678344,-0.7152916566045666,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7871421397959223,-0.8075244961437996,-0.8381721914410428,1990s,-1.0783363845778589,-1.295041008680088,,,-0.9437670538626436,-0.2352286759788577,-0.9320555719248118,-0.5065069692520042,-0.8990030827450526,-0.904546289130298
-0.8266992690126833,-0.7336231713519512,-0.5530398672451168,-0.3381000769123405,-0.7940400682175333,Algeria,-0.8816220992963443,-0.7346655334687161,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7964219435434431,-0.7574121236839388,-0.8381721914410428,1990s,-0.7868234968815858,-1.0959223653600356,,,-0.8244331071034021,-0.1722535787732866,-0.859189042826999,-0.3787337435692773,-0.8009141321813495,-0.7940228393395712
-0.6698020936953385,-0.3818549564800564,-0.5481807312009723,-0.3372162773198727,-0.9063949634016792,Algeria,-0.8675383992678344,-0.7326354061720588,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7950820788312342,-0.4992717221177721,-0.8381721914410428,1990s,-0.7331546473195141,-1.0938755126598525,,,-0.6106205610176115,-0.2042284702671865,-0.7575344331070712,-0.0201428298707112,-0.6640722363088889,-0.4838427947034118
-0.5129049183779937,-0.2781330761225198,-0.5367921310975088,-0.3358905779311709,-0.6845909030812527,Algeria,-0.8816220992963443,-0.7381517354534882,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7979603067315347,-0.4151482941019588,-0.8381721914410428,1990s,-0.4566940110037156,-0.7571250716485721,-1.4585095661299503,,-0.46608571761125,-0.1526711476240886,-0.5874571576858845,0.0228709429277716,-0.5463702583808998,-0.30541107365343
-0.3560077430606489,-0.190741400463939,-0.5168241189161027,-0.3336810789500012,-0.6652193694288134,Algeria,-0.8675383992678344,-0.7437613003009831,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.8009377838697768,-0.3449872778123563,-0.8381721914410428,1990s,-0.3666003398959916,-0.6951277826044391,-1.1839470144425623,,-0.3141657994185905,-0.5555025678126205,-0.4360467252984927,0.0197112540399899,-0.4435291635370815,-0.1869193051112588
-0.1991105677433041,-0.1514764543533072,-0.4865304426408894,-0.3301458805801298,-0.3775520946900945,Algeria,-0.8534546992393246,-0.7301652241375302,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7939903372138788,-0.301326516651447,-0.8381721914410428,1990s,-0.291459993439938,-0.3757654314668001,-1.181124631309973,,-0.2412511345478996,-0.6344898410843437,-0.2759992694001221,-0.3290878883996923,-0.3554852306725503,-0.1136873248957792
-0.0422133924259593,-0.1302137475524469,-0.4451518622649719,-0.3186564858780474,-0.0569532127422297,Algeria,-0.8252872991823049,-0.7315520631863164,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7945858326415273,-0.2671738253399664,-0.8381721914410428,1990s,-0.2447006262918893,-0.2716908441728705,-0.7167830768263139,,-0.1867435814410634,-0.7078776499754073,-0.1648963535952911,-0.5070634542667726,-0.2793783230131755,-0.0682524047894571
0.1146837828913854,0.0358471565449632,-0.3705944935876303,-0.3018642936211579,0.2646142458882575,Algeria,-0.8252872991823049,-0.7459515999626409,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.8019799008681615,-0.1174073563667161,0.7285275733746228,1990s,-0.2081241170954054,-0.1848900683760206,-0.631295683010069,,-0.102912737120208,-0.4735012322590542,-0.0333032981593507,-0.7671373562207592,-0.194498287288528,0.0267350040250199
0.2715809582087303,-0.1248075023108139,-0.316612529097213,-0.2872816003454381,0.2249026019007579,Algeria,-0.8252872991823049,-0.7447147548822639,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.801235531583601,-0.2212838405485588,0.7285275733746228,2000s,-0.0477287157560215,-0.1308744890548081,-0.1909303782892351,,-0.073428391239507,-0.5575588071989843,0.0238545178100502,-0.9158604280258354,-0.1381406245901006,0.0291469488667844
0.4284781335260751,0.0784004373901967,-0.2072819681039626,-0.2757922056433558,0.2946401230495382,Algeria,-0.7971198991252852,-0.746112484935134,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.8018310270112494,-0.0400557596188791,0.7285275733746228,2000s,-0.1589773182255548,-0.0886219639609524,-0.0474230513168265,-1.4922665712221583,0.0102323249123166,-0.5009595573141736,0.100978275638832,-0.8469378881619863,0.0282436552018149,-0.1012886377960002
0.5853753088434199,0.1207865147743489,-0.1208804553190189,-0.2567905144052966,0.4689839259214896,Algeria,-0.7689524990682656,-0.7279022639029081,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7915091062653439,0.0195297869245558,0.7285275733746228,2000s,0.0351125269444889,0.0966639167562497,0.0722656031147996,-1.0626920495864969,0.0606741928419325,-0.3635582912869833,0.1759275834515574,-0.7769601078017591,0.1806002285216249,-0.2108272788867069
0.7422724841607646,0.5886496661238091,0.0324860260742905,-0.2280670276500909,0.7024109064333791,Algeria,-0.7689524990682656,-0.730102542753095,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7922038509309337,0.4118731458926516,0.7285275733746228,2000s,0.0989268621383554,-0.0318484664854017,0.1467471034003688,-1.0582762110950372,0.2939025217026264,0.1150014077058818,0.3225704328844923,-0.1694780675024389,0.3870251163986583,-0.198606503850994
0.8991696594781095,0.9377704928619144,0.1804619034186271,-0.1723876533246152,0.8748175559400863,Algeria,-0.7548687990397558,-0.7066381161876977,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7771030793781498,0.7159062007499695,0.7285275733746228,2000s,0.5191148451759312,0.1923606292885104,0.205008654963663,-0.3317776412172729,0.5723670233581777,0.5277158934672953,0.5247040902844164,0.4432771559009182,0.597856118809803,0.0932106642348444
1.0560668347954545,1.229930673858266,0.4016285174278898,-0.1016836859271857,1.0036382547288054,Algeria,-0.7126176989542262,-0.7345940084849225,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.793861313204555,0.996226556362774,0.7285275733746228,2000s,0.8447251382448586,0.2660778007288553,0.4604973593517817,-0.1980259475547476,0.9321409186445184,0.301156213950682,0.7536812740442346,1.0581004384621508,0.8405461220603968,0.4245183313306968
1.2129640101127992,1.345217460273938,0.6884693920337924,-0.0155132256615685,1.263216805671488,Algeria,-0.6844502988972065,-0.7349415780415012,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.793444466405201,1.1682183438782727,0.7285275733746228,2000s,1.144939840843911,0.7514713958928918,0.2832930188745281,0.4909599099768342,1.2107465888741034,0.0463652240858403,1.0393804552395671,1.190172363937575,1.0713138247470917,0.7908172262295325
1.369861185430144,1.6792899755147108,1.069759723497753,0.1811321836625322,1.5169838965184383,Algeria,-0.6844502988972065,-0.7320670232520404,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7906158631238713,1.5320108083006667,0.7285275733746228,2000s,1.3291378924822506,1.1276105458814063,0.5924525250904283,0.7154883132733446,1.5113651050882264,0.2266387944620775,1.3626171771914954,1.4117971335588375,1.3407855547382037,1.2527703517094275
1.5267583607474886,1.8276273127374865,1.4978951633872937,0.5399548182044869,1.722322153234292,Algeria,-0.6281154987831672,-0.7294833896457233,-0.5226378614301196,-0.379857976276193,-0.4447135996187594,-0.7876880106046,1.7781675933338117,0.7285275733746228,2000s,1.7187487228323697,1.4744131668469491,0.694100338456177,0.902750546074933,1.7993992028329364,0.3593368676363282,1.724215299843989,1.2170817984117317,1.634613735219628,1.6724570440447757
1.6836555360648335,2.3623997157630465,1.9833532237976008,1.0781887700174189,1.82595985827484,Algeria,-0.6140317987546574,-0.7395628118272202,-0.5226378614301196,1.4249006980830612,-0.4447135996187594,-0.7960745712106483,2.3301982875077285,2.2952273381902883,2000s,1.9823752648646569,1.6871954407725431,1.3634043365089394,1.019282661103894,2.227423604720361,0.7652775889233191,2.1186471534735847,1.6287764289046616,1.9987963747462592,2.256887763312135
1.8405527113821785,-0.2207265544845482,2.701822042324773,2.471940727339248,1.9412204835068532,Algeria,-0.5999480987261476,-0.7271636561455653,-0.5226378614301196,3.213545455706964,-0.4447135996187594,-0.7859015243216548,0.6893460454996664,2.2952273381902883,2010s,2.573583599752346,2.137266859501284,1.8820585573715,1.110437401576475,1.9170214475515244,2.463327417749921,2.113186050430725,1.66294045491093,2.1311713121861353,2.0119106109022047
1.9974498866995232,3.017948752176455,3.377773420465681,4.0305213086563345,2.0361409984038032,Algeria,-0.5436132986121083,-0.7282709588035657,-0.5226378614301196,4.919987223891256,-0.4447135996187594,-0.7853556535129772,3.332145269820844,2.2952273381902883,2010s,0.8162800077011879,2.441803495919731,2.36026095447765,1.51016940179405,2.48944128076069,4.452589934613248,2.593480411428161,3.459737485055449,2.608562662860637,3.072964089533808
2.154347062016868,0.5999637669903228,4.298883396833815,5.825076381162341,2.1785217707492297,Algeria,-0.5154458985550886,-0.7447617483737661,-0.5226378614301196,5.292240714567177,-0.4447135996187594,-0.7997467930144799,1.8858838433749665,2.2952273381902883,2010s,3.646638799962753,3.124756723395578,2.653664139175687,1.2329193932825078,2.3257745795904037,4.409382689105995,2.741041493286353,3.1763899584544455,2.9001783405253874,2.802953592677872
-1.4542879702820626,-1.36916352692261,-0.5790817994817036,-0.341635275282212,-1.2424910722714957,Argentina,-0.5858643986976377,0.3109290737846771,-0.4556737210497043,-0.379857976276193,-0.4447135996187594,0.0743499298437378,-1.2059659993572198,-0.8381721914410428,1980s,,,,,-1.1829342996737924,,-1.1210929453020873,,-1.1534748930738423,
-1.2973907949647177,-1.154697220842114,-0.5767281554603211,-0.3411933754859781,-1.1485391340571665,Argentina,-0.5576969986406181,0.1859095001510143,-0.4566874421728016,-0.379857976276193,-0.4447135996187594,-0.0171539968179519,-1.0491319795052332,-0.8381721914410428,1990s,-1.2135424097084522,,,,-1.0962777425910568,-0.4214276001656482,-1.0243517852863484,-0.873711927840387,-1.023247215431599,-1.2221774562750083
-1.140493619647373,-1.1587937056386106,-0.5733874994299718,-0.3403095758935102,-0.9635409876763744,Argentina,-0.5436132986121083,0.3020590509734288,-0.4572020098984022,-0.379857976276193,-0.4447135996187594,0.1464006584965807,-1.0405213162044866,-0.8381721914410428,1990s,-1.0455778731183472,,,,-1.064220418379264,-0.4922083578448695,-0.9885638099079992,-0.9675875043798882,-0.9750713932657084,-1.303379543134757
-0.983596444330028,-0.795098310542904,-0.5659469473623755,-0.3389838765048084,-0.8734633561925332,Argentina,-0.5295295985835984,0.5095027665969034,-0.4743132481226998,-0.379857976276193,-0.4447135996187594,0.3748335481610264,-0.7592630318891289,-0.8381721914410428,1990s,-1.0363561106945551,-1.2500630793568963,,,-0.8996738859540554,-0.206164528571724,-0.8839244441612353,-0.4773676093476299,-0.834211581486096,-0.8793408318514621
-0.8266992690126833,-0.7336231713519512,-0.5530398672451168,-0.3381000769123405,-0.7940400682175333,Argentina,-0.4731947984695591,0.6219957657051204,-0.4727983373200293,-0.379857976276193,-0.4447135996187594,0.5494312691843468,-0.7015385005244494,-0.8381721914410428,1990s,-0.735136914554958,-1.0560334698327192,,,-0.7716351089025274,-0.1406903647508318,-0.8068981543260891,-0.3336511264525424,-0.7305229877065976,-0.7550265132883803
-0.6698020936953385,-0.3818549564800564,-0.5481807312009723,-0.3372162773198727,-0.9063949634016792,Argentina,-0.4731947984695591,0.542427420949781,-0.462724288085557,-0.379857976276193,-0.4447135996187594,0.5105754406533841,-0.445019691380893,-0.8381721914410428,1990s,-0.6733156708624242,-1.0453806558605672,,,-0.552277427054803,-0.1968124465827914,-0.7028037906438441,0.0259588761206778,-0.5903968280060068,-0.4439649598895808
-0.5129049183779937,-0.2781330761225198,-0.5367921310975088,-0.3358905779311709,-0.6845909030812527,Argentina,-0.4450273984125394,0.3039473988989988,-0.4103676681288246,-0.379857976276193,-0.3207630085572392,0.3104891754620003,-0.3688204215580342,-0.8381721914410428,1990s,-0.3985917114491168,-0.6974176620365741,-1.3964899840421952,,-0.4084548372807202,-0.1687668915641031,-0.5306760971439025,0.0563347058498956,-0.4722289052028415,-0.2741749319746621
-0.3560077430606489,-0.190741400463939,-0.5168241189161027,-0.3336810789500012,-0.6652193694288134,Argentina,-0.4168599983555197,0.5402208562078932,-0.4326495375034489,-0.379857976276193,-0.2566612992684057,0.5810912302168444,-0.2874236011386198,-0.8381721914410428,1990s,-0.3169845763621007,-0.6260028740254958,-1.128944646219472,,-0.2559123746555523,-0.5492676374319894,-0.3740592436779716,0.0440200065438225,-0.3667059293754388,-0.1513612157348772
-0.1991105677433041,-0.1514764543533072,-0.4865304426408894,-0.3301458805801298,-0.3775520946900945,Argentina,-0.3746088982699902,0.4337024474972547,-0.4184863121823318,-0.3764864490823351,-0.0253461444583387,0.5091771677646467,-0.2469302676178312,-0.8381721914410428,1990s,-0.2298110203022752,-0.3086467007876734,-1.114255595821796,,-0.1829445858471035,-0.615940395221717,-0.2108869109344458,-0.3233775131504069,-0.2771605523311922,-0.0784004377519479
-0.0422133924259593,-0.1302137475524469,-0.4451518622649719,-0.3186564858780474,-0.0569532127422297,Argentina,-0.3464414982129705,0.2008875724397953,-0.3907451982482206,-0.3747015229208809,0.0035215332270225,0.2571479702781094,-0.2230602444872791,-0.8381721914410428,1990s,-0.186443873262196,-0.2143756071581785,-0.6344531730846316,,-0.1292526844061509,-0.7336397630817878,-0.1006368522930784,-0.51847699681261,-0.201560139235166,-0.0394139656193023
0.1146837828913854,0.0358471565449632,-0.3705944935876303,-0.3018642936211579,0.2646142458882575,Argentina,-0.3464414982129705,0.5164518250330338,-0.3283084403470742,-0.3727182716303762,0.0032251240365032,0.6133758163283259,-0.0579982114092552,0.7285275733746228,1990s,-0.1608797936237215,-0.113674284209282,-0.5359800914203546,,-0.0447420474067092,-0.4533596666132369,0.0316831510340547,-0.7572303569764836,-0.1147852853856335,0.0589219831060773
0.2715809582087303,-0.1248075023108139,-0.316612529097213,-0.2872816003454381,0.2249026019007579,Argentina,-0.4168599983555197,0.893567136937957,-0.3399019330625399,-0.3713299957270229,0.1914191853040618,1.0106175167146842,-0.1454911089925138,0.7285275733746228,2000s,0.0158966986241728,-0.0635773365012153,-0.0983810837881723,,-0.0073761398137222,-0.5342532900323699,0.0932700068821858,-0.8846972581047737,-0.0545812461647818,0.0697570304993398
