Year,Month,Hydroelectric Power,Solar Energy,Wind Energy,Geothermal Energy,Biomass Energy,Total Renewable Energy
1973.0,1.0,0.0,0.0,0.0,0.0,0.0,30.074
1973.0,2.0,0.0,0.0,0.0,0.0,0.0,27.164
1973.0,3.0,0.0,0.0,0.0,0.0,0.0,30.074
1973.0,4.0,0.0,0.0,0.0,0.0,0.0,29.104
1973.0,5.0,0.0,0.0,0.0,0.0,0.0,30.074
1973.0,6.0,0.0,0.0,0.0,0.0,0.0,29.104
1973.0,7.0,0.0,0.0,0.0,0.0,0.0,30.074
1973.0,8.0,0.0,0.0,0.0,0.0,0.0,30.074
1973.0,9.0,0.0,0.0,0.0,0.0,0.0,29.104
1973.0,10.0,0.0,0.0,0.0,0.0,0.0,30.074
1973.0,11.0,0.0,0.0,0.0,0.0,0.0,29.104
1973.0,12.0,0.0,0.0,0.0,0.0,0.0,30.074
1974.0,1.0,0.0,0.0,0.0,0.0,0.0,31.506
1974.0,2.0,0.0,0.0,0.0,0.0,0.0,28.457
1974.0,3.0,0.0,0.0,0.0,0.0,0.0,31.506
1974.0,4.0,0.0,0.0,0.0,0.0,0.0,30.489
1974.0,5.0,0.0,0.0,0.0,0.0,0.0,31.506
1974.0,6.0,0.0,0.0,0.0,0.0,0.0,30.489
1974.0,7.0,0.0,0.0,0.0,0.0,0.0,31.506
1974.0,8.0,0.0,0.0,0.0,0.0,0.0,31.506
1974.0,9.0,0.0,0.0,0.0,0.0,0.0,30.489
1974.0,10.0,0.0,0.0,0.0,0.0,0.0,31.506
1974.0,11.0,0.0,0.0,0.0,0.0,0.0,30.489
1974.0,12.0,0.0,0.0,0.0,0.0,0.0,31.506
1975.0,1.0,0.0,0.0,0.0,0.0,0.0,36.131
1975.0,2.0,0.0,0.0,0.0,0.0,0.0,32.634
1975.0,3.0,0.0,0.0,0.0,0.0,0.0,36.131
1975.0,4.0,0.0,0.0,0.0,0.0,0.0,34.965
1975.0,5.0,0.0,0.0,0.0,0.0,0.0,36.131
1975.0,6.0,0.0,0.0,0.0,0.0,0.0,34.965
1975.0,7.0,0.0,0.0,0.0,0.0,0.0,36.131
1975.0,8.0,0.0,0.0,0.0,0.0,0.0,36.131
1975.0,9.0,0.0,0.0,0.0,0.0,0.0,34.965
1975.0,10.0,0.0,0.0,0.0,0.0,0.0,36.131
1975.0,11.0,0.0,0.0,0.0,0.0,0.0,34.965
1975.0,12.0,0.0,0.0,0.0,0.0,0.0,36.131
1976.0,1.0,0.0,0.0,0.0,0.0,0.0,40.794
1976.0,2.0,0.0,0.0,0.0,0.0,0.0,38.162
1976.0,3.0,0.0,0.0,0.0,0.0,0.0,40.794
1976.0,4.0,0.0,0.0,0.0,0.0,0.0,39.478
1976.0,5.0,0.0,0.0,0.0,0.0,0.0,40.794
1976.0,6.0,0.0,0.0,0.0,0.0,0.0,39.478
1976.0,7.0,0.0,0.0,0.0,0.0,0.0,40.794
1976.0,8.0,0.0,0.0,0.0,0.0,0.0,40.794
1976.0,9.0,0.0,0.0,0.0,0.0,0.0,39.478
1976.0,10.0,0.0,0.0,0.0,0.0,0.0,40.794
1976.0,11.0,0.0,0.0,0.0,0.0,0.0,39.478
1976.0,12.0,0.0,0.0,0.0,0.0,0.0,40.794
1977.0,1.0,0.0,0.0,0.0,0.0,0.0,46.014
1977.0,2.0,0.0,0.0,0.0,0.0,0.0,41.561
1977.0,3.0,0.0,0.0,0.0,0.0,0.0,46.014
1977.0,4.0,0.0,0.0,0.0,0.0,0.0,44.53
1977.0,5.0,0.0,0.0,0.0,0.0,0.0,46.014
1977.0,6.0,0.0,0.0,0.0,0.0,0.0,44.53
